Province/State,Country/Region,Lat,Long,Confirmed,Region,Death,Recovered,Active,Region
,Germany,51.165691,10.451526,426110,Europe,10008,7016046,406094,Europe
,Ghana,7.9465,-1.0232,47601,Africa,314,305100,46973,Africa
,Greece,39.0742,21.8243,29057,Europe,559,446685,27939,Europe
,Grenada,12.1165,-61.679,27,Americas,0,375188,27,Americas
,Guatemala,15.7835,-90.2308,103902,Americas,3594,23364,96714,Americas
,Guinea,9.9456,-9.6966,11635,Africa,71,290130,11493,Africa
,Guinea-Bissau,11.8037,-15.1804,2403,Africa,41,261808,2321,Africa
,Guyana,4.860416,-58.93018,3960,Americas,117,4156,3726,Americas
,Haiti,18.9712,-72.2852,9015,Americas,231,87600,8553,Americas
,Holy See,41.9029,12.4534,27,Europe,0,7449,27,Europe
,Honduras,15.2,-86.2419,91509,Americas,2604,105566,86301,Americas
,Hungary,47.1625,19.5033,54278,Europe,1352,33421,51574,Europe
,Iceland,64.9631,-19.0208,4308,Europe,11,23834,4286,Europe
,India,20.593684,78.96288,7814682,Asia,117956,14831,7578770,Asia
,Indonesia,-0.7893,113.9213,381910,Asia,13077,111440,355756,Asia
,Iran,32.427908,53.688046,556891,Asia,31985,47050,492921,Asia
,Iraq,33.223191,43.679291,445949,Asia,10513,22,424923,Asia
,Ireland,53.1424,-7.6921,55261,Europe,1878,1357,51505,Europe
,Israel,31.046051,34.851612,308840,Asia,2329,32412,304182,Asia
,Italy,41.87194,12.56738,484869,Europe,37059,961,410751,Europe
,Jamaica,18.1096,-77.2975,8638,Americas,182,1278,8274,Americas
,Japan,36.204824,138.252924,95868,Asia,1706,29619,92456,Asia
,Jordan,31.24,36.51,48930,Asia,508,170,47914,Asia
,Kazakhstan,48.0196,66.9237,110250,Asia,1796,3978,106658,Asia
,Kenya,-0.0236,37.9062,47843,Africa,884,9085,46075,Africa
,"Korea, South",35.907757,127.766922,25775,Asia,457,0,24861,Asia
,Kosovo,42.602636,20.902977,17263,Europe,657,16215,15949,Europe
,Kuwait,29.31166,47.481766,120232,Asia,740,5287,118752,Asia
,Kyrgyzstan,41.20438,74.766098,54588,Asia,1126,15884,52336,Asia
,Laos,19.85627,102.495496,24,Asia,0,10428,24,Asia
,Latvia,56.8796,24.6032,4208,Europe,50,2620,4108,Europe
,Lebanon,33.8547,35.8623,68479,Asia,559,3439,67361,Asia
,Lesotho,-29.61,28.2336,1934,Africa,43,7374,1848,Africa
,Liberia,6.428055,-9.429499,1393,Africa,82,386,1229,Africa
,Libya,26.3351,17.228331,53384,Africa,774,740934,51836,Africa
,Liechtenstein,47.14,9.55,324,Europe,1,51102,322,Europe
,Lithuania,55.1694,23.8813,9104,Europe,126,241,8852,Europe
,Luxembourg,49.8153,6.1296,12851,Europe,141,312,12569,Europe
,MS Zaandam,0,0,9,,2,12378,5,
,Madagascar,-18.766947,46.869107,16810,Africa,238,157175,16334,Africa
,Malawi,-13.2543,34.3015,5885,Africa,183,9234,5519,Africa
,Malaysia,4.210484,101.975766,24514,Asia,214,10748,24086,Asia
,Maldives,3.2028,73.2207,11391,Asia,37,105488,11317,Asia
,Mali,17.570692,-3.996166,3444,Africa,132,4160,3180,Africa
,Malta,35.9375,14.3754,5258,Europe,49,121,5160,Europe
,Mauritania,21.0079,-10.9408,7662,Africa,163,534,7336,Africa
,Mauritius,-20.348404,57.552152,435,Africa,10,702,415,Africa
,Mexico,23.6345,-102.5528,880775,Americas,88312,0,704151,Americas
,Moldova,47.4116,28.3699,70256,Europe,1654,1835,66948,Europe
,Monaco,43.7333,7.4167,295,Europe,2,4225,291,Europe
,Mongolia,46.8625,103.8467,328,Asia,0,1128,328,Asia
,Montenegro,42.708678,19.37439,16436,Europe,255,57190,15926,Europe
,Morocco,31.7917,-7.0926,190416,Africa,3205,18247,184006,Africa
,Mozambique,-18.665695,35.529562,11748,Africa,82,11863,11584,Africa
,Namibia,-22.9576,18.4904,12501,Africa,133,97949,12235,Africa
,Nepal,28.1667,84.25,153008,Asia,829,310101,151350,Asia
Aruba,Netherlands,12.5211,-69.9683,4401,Americas,36,103985,4329,Americas
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,150,Americas,3,545,144,Americas
Curacao,Netherlands,12.1696,-68.99,818,Americas,1,38797,816,Americas
Sint Maarten,Netherlands,18.0425,-63.0548,776,Americas,22,796719,732,Americas
,Netherlands,52.1326,5.2913,272401,Europe,6964,312691,258473,Europe
,New Zealand,-40.9006,174.886,1934,Oceania,25,105092,1884,Oceania
,Nicaragua,12.865416,-85.207229,5434,Americas,155,65880,5124,Americas
,Niger,17.607789,8.081666,1215,Africa,69,127599,1077,Africa
,Nigeria,9.082,8.6753,61882,Africa,1129,144429,59624,Africa
,North Macedonia,41.6086,21.7453,25991,Europe,883,1113736,24225,Europe
,Norway,60.472,8.4689,17532,Europe,279,4806,16974,Europe
,Oman,21.512583,55.923255,111837,Asia,1147,19,109543,Asia
,Pakistan,30.3753,69.3451,327063,Asia,6727,27,313609,Asia
,Panama,8.538,-80.7821,127866,Americas,2622,64,122622,Americas
,Papua New Guinea,-6.314993,143.95555,583,Oceania,7,716,569,Oceania
,Paraguay,-23.4425,-58.4438,58259,Americas,1278,898,55703,Americas
,Peru,-9.19,-75.0152,879876,Americas,33984,330578,811908,Americas
,Philippines,12.879721,121.774017,365799,Asia,6915,14082,351969,Asia
,Poland,51.9194,19.1451,228318,Europe,4172,0,219974,Europe
,Portugal,39.3999,-8.2245,112440,Europe,2276,149,107888,Europe
,Qatar,25.3548,51.1839,130711,Asia,229,1782,130253,Asia
,Romania,45.9432,24.9668,201032,Europe,6245,57832,188542,Europe
,Russia,61.52401,105.318756,1471000,Europe,25353,8859,1420294,Europe
,Rwanda,-1.9403,29.8739,5052,Africa,34,7659,4984,Africa
,Saint Kitts and Nevis,17.357822,-62.782998,19,Americas,0,3,19,Americas
,Saint Lucia,13.9094,-60.9789,48,Americas,0,3166,48,Americas
,Saint Vincent and the Grenadines,12.9843,-61.2872,73,Americas,0,643523,73,Americas
,San Marino,43.9424,12.4578,819,Europe,42,1290,735,Europe
,Sao Tome and Principe,0.1864,6.6131,938,Africa,15,150376,908,Africa
,Saudi Arabia,23.885942,45.079162,344157,Asia,5264,3644,333629,Asia
,Senegal,14.4974,-14.4524,15525,Africa,321,6764,14883,Africa
,Serbia,44.0165,21.0059,38115,Europe,786,5010,36543,Europe
,Seychelles,-4.6796,55.492,153,Africa,0,0,153,Africa
,Sierra Leone,8.460555,-11.779889,2343,Africa,74,55800,2195,Africa
,Singapore,1.2833,103.8333,57951,Asia,28,1692,57895,Asia
,Slovakia,48.669,19.699,37911,Europe,134,497,37643,Europe
,Slovenia,46.1512,14.9955,19307,Europe,214,9782,18879,Europe
,Solomon Islands,-9.6457,160.1562,4,Oceania,0,183,4,Oceania
,Somalia,5.152149,46.199616,3897,Africa,102,3529,3693,Africa
,South Africa,-30.5595,22.9375,712412,Africa,18891,28,674630,Africa
,South Sudan,6.877,31.307,2876,Africa,56,1586,2764,Africa
,Spain,40.463667,-3.74922,1046132,Europe,34752,3945,976628,Europe
,Sri Lanka,7.873054,80.771797,7153,Asia,14,5032,7125,Asia
,Sudan,12.8628,30.2176,13724,Africa,836,311520,12052,Africa
,Suriname,3.9193,-56.0278,5155,Americas,109,3375427,4937,Americas
,Sweden,60.128161,18.643501,110594,Europe,5933,7269,98728,Europe
,Switzerland,46.8182,8.2275,103653,Europe,2067,143093,99519,Europe
,Syria,34.802075,38.996815,5319,Asia,264,115068,4791,Asia
,Taiwan*,23.7,121,548,Asia,7,3,534,Asia
,Tajikistan,38.861,71.2761,10695,Asia,81,175,10533,Asia
,Tanzania,-6.369028,34.888822,509,Africa,21,70,467,Africa
,Thailand,15.870032,100.992541,3731,Asia,59,215,3613,Asia
,Timor-Leste,-8.874217,125.727539,29,Asia,0,659,29,Asia
,Togo,8.6195,0.8248,2162,Africa,52,13,2058,Africa
,Trinidad and Tobago,10.6918,-61.2225,5487,Americas,104,500,5279,Americas
,Tunisia,33.886917,9.537499,47214,Africa,784,321,45646,Africa
,Turkey,38.9637,35.2433,357693,Asia,9658,12,338377,Asia
,US,40,-100,8491459,Americas,223975,689,8043509,Americas
,Uganda,1.373333,32.290275,11163,Africa,99,0,10965,Africa
,Ukraine,48.3794,31.1656,340042,Europe,6336,2241,327370,Europe
,United Arab Emirates,23.424076,53.847818,122273,Asia,475,61957,121323,Asia
Anguilla,United Kingdom,18.2206,-63.0686,3,Americas,0,82899,3,Americas
Bermuda,United Kingdom,32.3078,-64.7505,190,Americas,9,1049,172,Americas
